year,date,count
2015,04-08,8514
2015,04-09,9190
2015,04-10,9667
2015,04-11,5154
2015,04-12,5614
2015,04-13,11182
2015,04-14,11999
2015,04-15,12751
2015,04-16,11633
2015,04-17,6308
2015,04-18,8989
2015,04-19,6762
2015,04-20,13129
2015,04-21,14094
2015,04-22,14617
2015,04-23,14232
2015,04-24,13447
2015,04-25,6981
2015,04-26,5427
2015,04-27,10728
2015,04-28,10396
2015,04-29,13834
2015,04-30,12014
2015,05-01,3032
2015,05-02,6720
2015,05-03,3251
2015,05-04,12486
2015,05-05,12052
2015,05-06,14192
2015,05-07,14618
2015,05-08,13248
2015,05-09,10202
2015,05-10,6885
2015,05-11,14010
2015,05-12,15020
2015,05-13,14376
2015,05-14,5624
2015,05-15,5938
2015,05-16,9145
2015,05-17,6627
2015,05-18,14163
2015,05-19,12534
2015,05-20,10461
2015,05-21,13612
2015,05-22,12391
2015,05-23,8386
2015,05-24,4570
2015,05-25,3352
2015,05-26,7881
2015,05-27,9163
2015,05-28,9208
2015,05-29,8246
2015,05-30,6690
2015,05-31,5251
2015,06-01,9917
2015,06-02,12618
2015,06-03,12935
2015,06-04,7626
2015,06-05,10709
2015,06-06,8590
2015,06-07,6547
2015,06-08,12241
2015,06-09,13848
2015,06-10,14144
2015,06-11,15119
2015,06-12,12375
2015,06-13,10436
2015,06-14,6941
2015,06-15,9759
2015,06-16,13074
2015,06-17,15148
2015,06-18,11059
2015,06-19,12566
2015,06-20,8211
2015,06-21,5855
2015,06-22,11953
2015,06-23,13404
2015,06-24,14448
2015,06-25,14686
2015,06-26,13272
2015,06-27,9101
2015,06-28,10322
2015,06-29,13552
2015,06-30,15049
2015,07-01,15159
2015,07-02,14354
2015,07-03,13117
2015,07-04,9169
2015,07-05,6693
2015,07-06,13743
2015,07-07,13988
2015,07-08,13889
2015,07-09,14517
2015,07-10,13809
2015,07-11,9881
2015,07-12,6939
2015,07-13,13314
2015,07-14,14877
2015,07-15,15259
2015,07-16,14847
2015,07-17,13327
2015,07-18,9915
2015,07-19,7581
2015,07-20,13918
2015,07-21,14734
2015,07-22,14114
2015,07-23,14723
2015,07-24,14687
2015,07-25,10575
2015,07-26,6927
2015,07-27,12139
2015,07-28,13261
2015,07-29,11616
2015,07-30,13391
2015,07-31,12825
2015,08-01,8311
2015,08-02,6666
2015,08-03,11695
2015,08-04,10835
2015,08-05,12492
2015,08-06,11618
2015,08-07,10476
2015,08-08,8206
2015,08-09,5425
2015,08-10,9471
2015,08-11,10869
2015,08-12,10753
2015,08-13,10178
2015,08-14,8452
2015,08-15,7106
2015,08-16,3135
2015,08-17,9257
2015,08-18,9823
2015,08-19,9690
2015,08-20,9972
2015,08-21,9513
2015,08-22,7292
2015,08-23,3532
2015,08-24,5725
2015,08-25,9416
2015,08-26,9695
2015,08-27,9682
2015,08-28,9390
2015,08-29,7371
2015,08-30,5241
2015,08-31,9407
2015,09-01,7537
2015,09-02,9884
2015,09-03,9596
2015,09-04,9487
2015,09-05,7187
2015,09-06,4108
2015,09-07,9413
2015,09-08,10102
2015,09-09,10725
2015,09-10,10558
2015,09-11,10310
2015,09-12,7092
2015,09-13,4557
2015,09-14,9001
2015,09-15,9937
2015,09-16,8895
2015,09-17,7405
2015,09-18,10575
2015,09-19,6842
2015,09-20,5211
2015,09-21,10961
2015,09-22,9117
2015,09-23,9145
2015,09-24,11092
2015,09-25,11013
2015,09-26,9856
2015,09-27,5786
2015,09-28,10608
2015,09-29,11552
2015,09-30,11803
2015,10-01,11615
2015,10-02,11083
2015,10-03,6090
2015,10-04,5292
2015,10-05,10081
2015,10-06,9704
2015,10-07,11264
2015,10-08,11523
2015,10-09,11057
2015,10-10,8161
2015,10-11,5744
2015,10-12,11189
2015,10-13,10842
2015,10-14,10738
2015,10-15,9681
2015,10-16,10067
2015,10-17,6880
2015,10-18,4762
2015,10-19,11424
2015,10-20,12360
2015,10-21,12689
2015,10-22,12143
2015,10-23,11623
2015,10-24,8992
2015,10-25,6212
2015,10-26,11954
2015,10-27,12086
2015,10-28,12573
2015,10-29,11845
2015,10-30,11455
2015,10-31,8190
2015,11-01,4935
2015,11-02,9975
2015,11-03,10439
2015,11-04,11089
2015,11-05,11473
2015,11-06,10527
2015,11-07,8734
2015,11-08,6191
2015,11-09,11789
2015,11-10,13019
2015,11-11,13251
2015,11-12,12840
2015,11-13,11634
2015,11-14,8135
2015,11-15,5652
2015,11-16,11861
2015,11-17,11500
2015,11-18,12693
2015,11-19,11600
2015,11-20,6200
2015,11-21,5327
2015,11-22,3524
2015,11-23,10107
2015,11-24,10384
2015,11-25,9162
2015,11-26,9085
2015,11-27,9331
2015,11-28,6125
2015,11-29,3574
2015,11-30,9413
2015,12-01,10474
2015,12-02,11765
2015,12-03,11014
2015,12-04,9663
2015,12-05,8129
2015,12-06,4932
2015,12-07,11123
2015,12-08,11931
2015,12-09,11358
2015,12-10,11386
2015,12-11,9976
2015,12-12,7802
2015,12-13,5516
2015,12-14,10745
2015,12-15,11456
2015,12-16,11144
2015,12-17,12130
2015,12-18,11233
2015,12-19,8452
2015,12-20,5043
2015,12-21,8679
2015,12-22,10334
2015,12-23,7061
2015,12-24,2838
2015,12-25,1565
2015,12-26,1870
2015,12-27,2384
2015,12-28,4840
2015,12-29,5156
2015,12-30,5031
2015,12-31,2859
2016,01-01,1970
2016,01-02,2637
2016,01-03,2882
2016,01-04,5700
2016,01-05,6399
2016,01-06,2505
2016,01-07,6750
2016,01-08,6966
2016,01-09,5944
2016,01-10,3532
2016,01-11,7189
2016,01-12,8425
2016,01-13,9291
2016,01-14,9557
2016,01-15,8021
2016,01-16,4545
2016,01-17,2456
2016,01-18,6138
2016,01-19,7107
2016,01-20,7516
2016,01-21,7847
2016,01-22,7231
2016,01-23,5639
2016,01-24,4241
2016,01-25,9489
2016,01-26,10472
2016,01-27,10477
2016,01-28,9312
2016,01-29,9862
2016,01-30,6022
2016,01-31,3296
2016,02-01,9647
2016,02-02,10291
2016,02-03,8918
2016,02-04,8089
2016,02-05,8802
2016,02-06,6729
2016,02-07,3384
2016,02-08,5865
2016,02-09,6235
2016,02-10,7560
2016,02-11,8617
2016,02-12,7977
2016,02-13,4945
2016,02-14,2893
2016,02-15,7482
2016,02-16,8863
2016,02-17,8852
2016,02-18,9218
2016,02-19,8004
2016,02-20,4804
2016,02-21,3806
2016,02-22,9069
2016,02-23,7423
2016,02-24,9014
2016,02-25,6542
2016,02-26,8136
